A,B
"(0, 0, 0, 0)","[61.50421329428471, 0, 2]"
"(420, -50, -9, 0)","[199.27732697290787, 0, 362]"
"(420, -40, -8, 0)","[199.27411501094417, 0, 336]"
"(420, -30, -7, 0)","[199.3059588124134, 0, 345]"
"(350, -20, -6, 0)","[199.32344945931715, 0, 338]"
"(350, -20, -5, 0)","[199.2711182231204, 0, 346]"
"(350, -20, -4, 0)","[199.08231383640953, 0, 362]"
"(350, -10, -3, 0)","[199.1894412971076, 0, 339]"
"(350, -10, -2, 0)","[199.1270567367541, 0, 345]"
"(350, -10, -1, 0)","[199.10001280545538, 0, 346]"
"(350, -10, 0, 0)","[199.0729265440067, 0, 346]"
"(350, -10, 1, 0)","[199.0486032417299, 0, 345]"
"(350, -10, 2, 0)","[199.08530916741273, 0, 339]"
"(350, -20, 3, 0)","[198.76598737801152, 0, 362]"
"(350, -20, 4, 0)","[198.92585225496248, 0, 346]"
"(350, -20, 5, 0)","[198.96479702194404, 0, 338]"
"(350, -30, 6, 0)","[198.81906244523472, 0, 345]"
"(350, -40, 7, 0)","[198.68970302818533, 0, 336]"
"(350, -50, 8, 0)","[198.41572811886778, 0, 362]"
"(350, -50, 9, 0)","[199.03727881812574, 0, 338]"
"(350, -60, 10, 0)","[199.07750996786376, 0, 712]"
"(350, -70, 10, 0)","[198.2393988457837, 0, 693]"
"(280, -80, 10, 0)","[198.1615046988994, 0, 341]"
"(280, -90, 10, 0)","[198.10219764307985, 0, 695]"
"(280, -100, 10, 0)","[-713.0453310702848, 198.0183675053745, 1057]"
"(280, -110, 10, 0)","[-897.4186488358904, 197.7876202824154, 95]"
"(280, -120, 10, 0)","[-898.4868972344035, 0, 3]"
"(280, -130, 10, 0)","[-897.5088536239999, -847.0095193701029, 3]"
"(280, -140, 10, 0)","[-890.4741968000001, 0, 2]"
"(280, -150, 10, 0)","[62.72709517201305, 0, 2]"
"(280, -160, 10, 0)","[-900.0, 0, 1]"
"(280, -170, 10, 0)","[-900.0, 0, 1]"
"(280, -180, 10, 0)","[61.71744960687923, 0, 1]"
"(420, -10, -9, 0)","[199.7915037373524, 0, 366]"
"(420, 0, -8, 0)","[199.78375616626337, 0, 374]"
"(420, 0, -7, 0)","[199.720499749055, 0, 364]"
"(350, 10, -6, 0)","[199.75573606532507, 0, 369]"
"(350, 10, -5, 0)","[199.69408887509417, 0, 354]"
"(350, 20, -4, 0)","[199.752244557934, 0, 366]"
"(350, 20, -3, 0)","[199.7032827229378, 0, 369]"
