A,B
"(0, 0, 0, 0)","[61.50421329428471, 0, 2]"
"(420, -40, -9, 0)","[199.97876743103575, 0, 327]"
"(420, -30, -8, 0)","[199.97849155146798, 0, 324]"
"(420, -30, -7, 0)","[199.9670843530636, 0, 351]"
"(350, -20, -6, 0)","[199.97669774006897, 0, 335]"
"(350, -20, -5, 0)","[199.96383291105894, 0, 361]"
"(350, -10, -4, 0)","[199.97494212588083, 0, 327]"
"(350, -10, -3, 0)","[199.9603510559973, 0, 343]"
"(350, -10, -2, 0)","[199.95773329387086, 0, 351]"
"(350, -10, -1, 0)","[199.95637921567882, 0, 361]"
"(350, -10, 0, 0)","[199.95526006226646, 0, 361]"
"(350, -10, 1, 0)","[199.95447763303972, 0, 351]"
"(350, -10, 2, 0)","[199.95416016573313, 0, 343]"
"(350, -10, 3, 0)","[199.96055085858285, 0, 327]"
"(350, -20, 4, 0)","[199.94879635174402, 0, 361]"
"(350, -20, 5, 0)","[199.95609938425264, 0, 335]"
"(350, -30, 6, 0)","[199.9463159486989, 0, 351]"
"(350, -30, 7, 0)","[199.95080075340087, 0, 324]"
"(350, -40, 8, 0)","[199.9486505833073, 0, 327]"
"(350, -50, 9, 0)","[199.94653997751547, 0, 335]"
"(350, -60, 10, 0)","[199.94440752568806, 0, 337]"
"(350, -70, 10, 0)","[199.90873423078168, 0, 708]"
"(280, -80, 10, 0)","[-802.8757276897416, 199.9400965161188, 340]"
"(280, -90, 10, 0)","[199.8956944895386, 0, 379]"
"(280, -100, 10, 0)","[199.9041788927498, 0, 762]"
"(280, -110, 10, 0)","[199.89980131229657, 0, 858]"
"(280, -120, 10, 0)","[-715.9145969546871, 199.89520581333096, 858]"
"(280, -130, 10, 0)","[-897.6725775, -849.2439667584059, 3]"
"(280, -140, 10, 0)","[-890.6355000000001, 0, 2]"
"(280, -150, 10, 0)","[62.73571760010907, 0, 2]"
"(280, -160, 10, 0)","[-900.0, 0, 1]"
"(280, -170, 10, 0)","[-900.0, 0, 1]"
"(280, -180, 10, 0)","[61.79066775618963, 0, 1]"
"(420, -10, -9, 0)","[199.97819916659327, 0, 376]"
"(420, 0, -8, 0)","[199.97675977311303, 0, 355]"
"(420, 0, -7, 0)","[199.9780475236657, 0, 390]"
"(350, 10, -6, 0)","[199.97411319999918, 0, 373]"
"(350, 10, -5, 0)","[199.975465608664, 0, 384]"
"(350, 20, -4, 0)","[199.9712148342297, 0, 376]"
"(350, 20, -3, 0)","[199.97256442097614, 0, 380]"
"(350, 20, -2, 0)","[199.97100523774924, 0, 390]"
"(350, 20, -1, 0)","[199.9693385120657, 0, 384]"
"(350, 20, 0, 0)","[199.96755165786766, 0, 384]"
"(350, 20, 1, 0)","[199.96562975351338, 0, 390]"
"(350, 20, 2, 0)","[199.9635551628405, 0, 380]"
"(350, 20, 3, 0)","[199.9630486863353, 0, 376]"
"(350, 10, 4, 0)","[199.95906621135984, 0, 384]"
"(350, 10, 5, 0)","[199.96035189688826, 0, 373]"
"(350, 0, 6, 0)","[199.95392694321907, 0, 390]"
"(350, 0, 7, 0)","[199.95781538312977, 0, 355]"
"(350, -10, 8, 0)","[199.9560627729598, 0, 376]"
"(350, -20, 9, 0)","[199.9536710156251, 0, 373]"
"(350, -30, 10, 0)","[199.95109156602925, 0, 730]"
"(350, -40, 10, 0)","[199.95125264701696, 0, 753]"
"(280, -50, 10, 0)","[199.94986155036796, -778.3093706993519, 382]"
"(280, -60, 10, 0)","[199.94734557668133, -807.8150776543613, 378]"
"(280, -70, 10, 0)","[-889.5230300322667, 199.9446830227614, 377]"
"(420, -30, -9, 0)","[199.9841636436895, 0, 334]"
"(420, -20, -8, 0)","[199.98332106689668, 0, 347]"
"(420, -10, -7, 0)","[199.98245401895338, 0, 359]"
"(350, -10, -6, 0)","[199.98159462478466, 0, 328]"
"(350, 0, -5, 0)","[199.98051970714027, 0, 348]"
"(350, 0, -4, 0)","[199.97942633258873, 0, 334]"
"(350, 0, -3, 0)","[199.9750381685808, 0, 329]"
"(350, 10, -2, 0)","[199.97731503719382, 0, 359]"
"(350, 10, -1, 0)","[199.97583974444638, 0, 348]"
"(350, 10, 0, 0)","[199.97418762856307, 0, 348]"
"(350, 10, 1, 0)","[199.9723255637255, 0, 359]"
"(350, 0, 2, 0)","[199.96380105707672, 0, 329]"
"(350, 0, 3, 0)","[199.96884345533107, 0, 334]"
"(350, 0, 4, 0)","[199.96670070583852, 0, 348]"
"(350, -10, 5, 0)","[199.96377851321614, 0, 328]"
"(350, -10, 6, 0)","[199.9611398455575, 0, 359]"
