A,B
"(0, 0, 0, 0)","[61.50421329428471, 0, 2]"
"(420, -10, -9, 0)","[199.9751513155497, 0, 282]"
"(420, -10, -8, 0)","[199.98063682498176, 0, 279]"
"(420, 0, -7, 0)","[199.98009830462507, 0, 289]"
"(350, 10, -6, 0)","[199.97959234932566, 0, 280]"
"(350, 10, -5, 0)","[199.97917245626542, 0, 292]"
"(350, 20, -4, 0)","[199.97377449411368, 0, 282]"
"(350, 20, -3, 0)","[199.98030944028557, 0, 280]"
"(350, 20, -2, 0)","[199.97994791968063, 0, 289]"
"(350, 20, -1, 0)","[199.97945029469415, 0, 292]"
"(350, 20, 0, 0)","[199.9789786153765, 0, 292]"
"(350, 20, 1, 0)","[199.97853497278172, 0, 289]"
"(350, 20, 2, 0)","[199.97811915571614, 0, 280]"
"(350, 20, 3, 0)","[199.97074401958042, 0, 282]"
"(350, 10, 4, 0)","[199.97845264491497, 0, 292]"
"(350, 10, 5, 0)","[199.97831874079432, 0, 280]"
"(350, 0, 6, 0)","[199.97822424953625, 0, 289]"
"(350, -10, 7, 0)","[199.97829256116424, 0, 279]"
"(350, -10, 8, 0)","[199.96759249709677, 0, 282]"
"(350, -20, 9, 0)","[199.97728637118072, 0, 280]"
"(350, -30, 10, 0)","[199.97749146754762, 0, 592]"
"(350, -40, 10, 0)","[-106.46951703366858, 199.97802151609164, 553]"
"(280, -50, 10, 0)","[199.77020487841503, -782.3146772837913, 319]"
"(280, -60, 10, 0)","[199.75674859313875, -798.0589290074413, 314]"
"(280, -70, 10, 0)","[199.35844512050926, -849.6362184308841, 609]"
"(280, -80, 10, 0)","[-896.6290959669375, 199.28181136981226, 879]"
"(280, -90, 10, 0)","[-877.2105913875, 198.65503984964573, 284]"
"(280, -100, 10, 0)","[198.92467225415191, 0, 289]"
"(280, -110, 10, 0)","[-601.4998749090282, 198.86786456278577, 372]"
"(280, -120, 10, 0)","[-715.2828361509103, -827.3452639473549, 3]"
"(280, -130, 10, 0)","[-900.0, -848.1670598256261, 2]"
"(280, -140, 10, 0)","[-900.0, 0, 1]"
"(280, -150, 10, 0)","[61.66046530693682, 0, 1]"
"(420, 40, -9, 0)","[199.9966069295519, 0, 261]"
"(420, 50, -8, 0)","[199.9962184565885, 0, 264]"
"(420, 50, -7, 0)","[199.99665899702018, 0, 274]"
"(350, 60, -6, 0)","[199.99615713965235, 0, 262]"
"(350, 70, -5, 0)","[199.9960006203907, 0, 261]"
"(350, 70, -4, 0)","[199.9957999601297, 0, 261]"
"(350, 70, -3, 0)","[199.99558630916155, 0, 275]"
"(350, 70, -2, 0)","[199.99583438492365, 0, 274]"
"(350, 80, -1, 0)","[199.99534660602467, 0, 261]"
"(350, 80, 0, 0)","[199.99505323381092, 0, 261]"
"(350, 70, 1, 0)","[199.9952584063175, 0, 274]"
"(350, 70, 2, 0)","[199.99446925266085, 0, 275]"
"(350, 70, 3, 0)","[199.99424852990683, 0, 261]"
"(350, 70, 4, 0)","[199.99393388891505, 0, 261]"
"(350, 60, 5, 0)","[199.99366797166184, 0, 262]"
"(350, 50, 6, 0)","[199.99419390900115, 0, 274]"
"(350, 50, 7, 0)","[199.99303735641297, 0, 264]"
"(350, 40, 8, 0)","[199.99263341672636, 0, 261]"
"(350, 30, 9, 0)","[199.99225656606978, 0, 262]"
"(350, 20, 10, 0)","[199.99185010831957, 0, 509]"
"(350, 10, 10, 0)","[199.99327306252047, 0, 531]"
"(280, 0, 10, 0)","[199.9901123292306, 0, 1074]"
"(280, -10, 10, 0)","[199.9927382265742, 0, 1343]"
"(280, -20, 10, 0)","[199.99248739524836, 0, 1633]"
"(280, -30, 10, 0)","[-314.17407039307534, 199.99216579208746, 1921]"
"(280, -40, 10, 0)","[199.78360360442224, -732.5365004325405, 350]"
"(420, 0, -9, 0)","[199.96419340078083, 0, 318]"
"(420, 10, -8, 0)","[199.9621461171258, 0, 307]"
"(420, 20, -7, 0)","[199.9598707977085, 0, 319]"
"(350, 30, -6, 0)","[199.98747544174614, 0, 288]"
"(350, 30, -5, 0)","[199.9554904263095, 0, 316]"
"(350, 30, -4, 0)","[199.9524660533974, 0, 318]"
"(350, 40, -3, 0)","[199.98441286444853, 0, 301]"
"(350, 40, -2, 0)","[199.94503286805542, 0, 319]"
"(350, 40, -1, 0)","[199.94060449262423, 0, 316]"
"(350, 40, 0, 0)","[199.93548286756766, 0, 316]"
"(350, 40, 1, 0)","[199.92950188256768, 0, 319]"
"(350, 40, 2, 0)","[199.98251973163977, 0, 301]"
"(350, 30, 3, 0)","[199.9140478107953, 0, 318]"
"(350, 30, 4, 0)","[199.9045300910067, 0, 316]"
"(350, 30, 5, 0)","[199.98809230247798, 0, 288]"
"(350, 20, 6, 0)","[199.8867234101593, 0, 319]"
"(350, 10, 7, 0)","[199.87230952790605, 0, 307]"
"(350, 0, 8, 0)","[199.8550519809333, 0, 318]"
"(350, 0, 9, 0)","[199.98840325036386, 0, 288]"
"(350, -10, 10, 0)","[199.99212119225254, 0, 578]"
"(350, -20, 10, 0)","[199.98857693382132, 0, 600]"
"(280, -80, -9, 0)","[198.5651375510001, 0, 335]"
"(280, -70, -8, 0)","[199.07388855847316, 0, 464]"
"(280, -60, -7, 0)","[199.09573219444133, 0, 620]"
"(280, -50, -6, 0)","[199.13289369925837, 0, 877]"
"(280, -50, -5, 0)","[199.01393267682238, 0, 556]"
"(280, -50, -4, 0)","[198.05022823941633, 0, 335]"
"(280, -40, -3, 0)","[198.93196920905092, 0, 753]"
"(280, -40, -2, 0)","[198.78979124681183, 0, 620]"
"(280, -40, -1, 0)","[198.8393488740861, 0, 556]"
"(280, -40, 0, 0)","[198.91132313612036, 0, 556]"
"(280, -40, 1, 0)","[199.0095928777511, 0, 620]"
"(210, -40, 2, 0)","[199.4387017127084, 0, 111]"
"(210, -50, 3, 0)","[194.58737846817434, 0, 550]"
"(210, -50, 4, 0)","[199.38175761336032, 0, 282]"
"(210, -50, 5, 0)","[199.5399518741125, 0, 305]"
"(210, -60, 6, 0)","[198.92997317480496, 0, 347]"
"(210, -70, 7, 0)","[198.85957446445198, 0, 464]"
"(210, -80, 8, 0)","[196.6488012172848, 0, 335]"
"(210, -80, 9, 0)","[198.91958572647496, 0, 877]"
"(210, -90, 10, 0)","[-18.942154053917605, 198.77408016747637, 879]"
"(210, -100, 10, 0)","[196.43191307060425, 0, 283]"
"(210, -110, 10, 0)","[-900.0, 196.3235189655727, 283]"
"(210, -120, 10, 0)","[-900.0, -848.1670598256261, 2]"
"(210, -130, 10, 0)","[49.963330534584806, 0, 2]"
"(420, 60, -7, 0)","[199.99612630439788, 0, 262]"
"(350, 80, -2, 0)","[199.99561761443942, 0, 262]"
"(350, 80, 1, 0)","[199.9947362518727, 0, 262]"
"(350, 60, 6, 0)","[199.99340376388022, 0, 262]"
"(280, -60, -9, 0)","[105.1416312996042, 0, 2]"
